Media Sources,Tweets Ago,compound,neg,pos,neu
nytimes,56,0.0,0.0,0.0,1.0
nytimes,57,0.0,0.0,0.0,1.0
nytimes,58,-0.4767,0.147,0.0,0.853
nytimes,59,0.0,0.0,0.0,1.0
nytimes,60,0.5719,0.0,0.227,0.773
nytimes,61,-0.34,0.264,0.167,0.569
nytimes,62,-0.8934,0.416,0.0,0.584
nytimes,63,-0.6997,0.347,0.0,0.653
nytimes,64,0.0,0.0,0.0,1.0
nytimes,65,0.0,0.0,0.0,1.0
nytimes,66,-0.3182,0.133,0.0,0.867
nytimes,67,0.0772,0.0,0.058,0.942
nytimes,68,0.2732,0.0,0.11,0.89
nytimes,69,0.4215,0.0,0.141,0.859
nytimes,70,-0.7184,0.28,0.0,0.72
nytimes,71,0.2263,0.068,0.111,0.821
nytimes,72,-0.5267,0.134,0.0,0.866
nytimes,73,0.0,0.0,0.0,1.0
nytimes,74,0.2732,0.083,0.166,0.751
nytimes,75,-0.1027,0.091,0.0,0.909
nytimes,76,-0.5267,0.139,0.0,0.861
nytimes,77,0.4939,0.0,0.158,0.842
nytimes,78,0.101,0.097,0.111,0.792
nytimes,79,-0.34,0.244,0.154,0.602
nytimes,80,0.0,0.0,0.0,1.0
nytimes,81,0.0,0.0,0.0,1.0
nytimes,82,0.3612,0.0,0.217,0.783
nytimes,83,-0.1531,0.088,0.065,0.846
nytimes,84,0.0,0.0,0.0,1.0
nytimes,85,-0.2732,0.084,0.0,0.916
nytimes,86,0.296,0.113,0.167,0.721
nytimes,87,-0.5106,0.136,0.0,0.864
nytimes,88,0.0,0.0,0.0,1.0
nytimes,89,-0.5574,0.153,0.0,0.847
nytimes,90,-0.5574,0.175,0.0,0.825
nytimes,91,0.0,0.0,0.0,1.0
nytimes,92,-0.5574,0.146,0.0,0.854
nytimes,93,-0.0516,0.173,0.163,0.663
nytimes,94,0.5994,0.0,0.214,0.786
nytimes,95,0.3612,0.0,0.116,0.884
nytimes,96,0.34,0.0,0.107,0.893
nytimes,97,-0.4767,0.147,0.0,0.853
nytimes,98,0.34,0.161,0.244,0.595
nytimes,99,-0.2732,0.116,0.0,0.884
